Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
Austria,0.09182967741176595,0.5610319003626723,0.134707966209465,0.0,0.09176612946895912,-0.7311026738032431,0.6569155924004586,166,223,163,73,218,121,55
Azerbaijan,0.20237364452446416,0.2157792280255093,0.20398467432950196,0.0,0.09713149906258312,-0.4182251350926409,0.44602597741013117,133,177,183,72,219,159,118
Bahamas,0.971623317362537,0.08611322912695396,0.26365348399246713,0.0,-0.4568932480302449,1.4900606821510767,0.34835253984490344,42,122,194,71,160,223,137
Bahrain,0.035484741328940084,0.009572561323652806,0.003599712023038215,0.0,-0.982863876363347,-0.9925023749579323,0.662940750845824,197,53,48,70,23,13,50
Bangladesh,1.1778895590797118,0.013093936606913825,0.017121046892039304,0.0,-0.9312382534436129,-0.9129670521473268,0.21900140594761044,36,58,72,69,66,72,168
Barbados,0.2914309460620885,2.0206419281708627,2.0945945945945947,0.0,-0.7632591439310369,-0.581081081081081,0.4752665897368165,112,235,233,68,122,146,113
Belarus,0.6324359269434223,0.21675345576729366,0.22640598600048278,0.0,-0.6697715047458664,-0.6082598735544502,0.2711515475120003,69,178,189,67,139,141,151
Belgium,0.029136784782075376,0.41855442048461233,0.05519100070307004,-0.9999989222815748,0.1467926725022779,-0.6910063469812067,0.7468061869612753,200,208,116,234,220,130,26
Belize,0.5151049345923393,0.4629585116100188,0.3961352657004831,0.0,1.9695481673271225,0.42379052019883723,0.4771075410888705,78,218,209,66,228,221,111
Benin,12.90918009810792,0.04018417748011727,0.012578616352201255,0.0,-0.9660590384546996,-0.987968280010938,0.02391175477757625,4,98,65,65,36,19,211
Bermuda,0.1061161579598795,0.0,0.0,0.0,0.0,0.0,0.7628196869161888,163,23,24,64,214,214,20
Bhutan,0.13628114671054892,0.014994232987312506,0.0,0.0,-0.9505116448202001,0.0,0.7233517117579177,149,63,11,63,51,218,34
Bolivia,0.21182376070621434,0.07416199582371696,0.023271950894048654,0.0,-0.8942431855933737,-0.9310195892807387,0.33369503561922415,127,115,90,62,82,63,142
Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,0.0,0.0,0.0,0.6328606541879372,229,2,3,61,213,213,69
Bosnia and Herzegovina,0.41856230610541556,0.17161111702694076,0.18668678106732028,0.0,-0.6752057464361962,-0.7033811442437634,0.22082122067413748,91,169,178,60,137,128,166
Botswana,0.9992120182130277,0.08842763084477179,0.021114864864864913,0.0,-0.9477230733276026,-0.9983140221971021,0.19579558158549,40,124,82,85,54,7,172
Brazil,0.4549852037954547,0.031146857995956845,0.030049484791763392,0.0,-0.9528694869884211,-0.9537149233548545,0.6216526701862792,83,89,97,86,45,50,71
British Virgin Islands,0.11304231566281175,0.0,0.0,0.0,0.0,0.0,0.5472833053939453,156,5,7,87,208,205,95
Brunei,0.7541805679876312,1.1160764474423832,1.3095238095238093,0.0,2.1858909499718946,inf,0.7811755433354773,55,232,230,101,229,234,15
Bulgaria,0.3253189936242622,0.3841290260911818,0.3625610573699838,0.0,-0.4464778645168809,-0.5113391619578371,0.25562218205782367,107,202,207,112,161,150,156
Burkina Faso,0.7677484967973307,0.12335884294039179,0.5543478260869565,0.0,-0.8623348153741751,-0.22754811119030638,0.013826564582185213,53,147,223,111,94,169,221
Burundi,0.0,0.15156814079422376,0.0,0.0,-0.9377596690915286,-1.0,6.348206986471057e-05,233,160,10,110,61,4,230
Cambodia,0.20432078880542637,0.06642639656993721,0.2677878395860285,0.0,-0.9878229011137555,0.0,0.7860337205807046,131,113,197,109,18,170,14
Cameroon,6.063214845047696,0.15699381385220423,0.227553118574366,0.0,-0.8071556447927088,-0.6265794977241174,0.021867112504280188,9,163,190,108,107,138,213
Canada,0.07405504989611433,0.10371115811201803,0.06537937952282014,-0.999999894892075,-0.8484745167471233,-0.8568338732927632,0.7620232031107143,175,138,124,235,100,93,22
Cape Verde,0.7300417518984503,0.021130508835426776,0.029498525073746285,0.0,-0.9555621270672374,-0.9393939393939394,0.43950802721475846,56,68,96,107,42,56,119
Cayman Islands,0.08445834385501438,0.0,0.0,0.0,0.0,0.0,0.8395590844837438,171,12,15,106,204,209,6
Central African Republic,31.520149479850517,0.029636795356609014,0.010000000000000009,0.0,-0.2571342658845951,-0.8424999999999998,0.06544366885522258,2,86,58,105,173,98,196
Chad,1.378625555265221,0.013695911075823686,0.005747126436781658,0.0,-0.9880415454118945,-0.9900383141762451,0.00430529497956989,31,60,51,104,17,15,228
Chile,0.13796002121027806,0.06558022177838607,0.023433329774741107,0.0,-0.8966885662254754,-0.9403737182627699,0.838768236825852,146,112,91,103,79,55,7
China,0.027136902217064662,0.02772437729261279,0.0,0.0,-0.23276220565421146,-1.0,0.7452541198713211,204,80,19,102,174,2,27
Colombia,0.4424636952061245,0.02266708114152194,0.01764859579252409,0.0,-0.9512351798158416,-0.9622619243909969,0.4763523922293599,84,70,73,100,49,43,112
Comoros,0.48866734938123857,0.08693552282057482,0.020408163265306145,0.0,-0.9750964374238311,-0.998499399759904,0.2716060221327787,81,123,80,88,30,6,150
Congo,0.11112451633474385,0.33178882336422344,0.8341968911917099,0.0,-0.08390708327523844,2.3367875647668397,0.022792224241150415,157,196,227,99,180,225,212
Cook Islands,0.06213768115942031,0.0,0.0,0.0,0.0,0.0,0.6673116321420441,184,17,46,98,188,179,48
Costa Rica,0.43611212996412974,0.06511645386472753,0.14296899467585344,0.0,-0.7676035856748197,-0.5953532987477463,0.6117961811251995,85,111,166,97,121,143,74
Cote d'Ivoire,3.30272860277981,0.024413722138316718,0.1282051282051282,0.0,-0.974341576200255,-0.835849508746705,0.0434827431099909,14,75,160,96,31,101,203
Croatia,0.18274286330008538,0.5025198250944933,0.26145833333333335,0.0,0.7427382574791952,-0.49436770268048025,0.4733072867220347,138,220,193,95,226,155,114
Cuba,0.7863039275687542,0.09694014779560267,0.11672942442173206,0.0,-0.9818611833864475,-0.9386960576777954,0.8123718687646333,52,134,156,94,27,57,10
Curacao,0.06392479435957688,0.0,0.0,0.0,0.0,0.0,0.5768768659433482,183,18,16,93,206,188,89
Cyprus,0.051046898605697555,0.1192745311836727,0.08152173913043481,0.0,-0.8878189875907929,-0.9285940971120279,0.6506671279736163,191,145,131,92,89,65,59
Czechia,0.06465901117966477,0.2710942843849413,0.08568895892839556,0.0,-0.7605606080217111,-0.9331394013617128,0.5925659558957842,182,187,135,91,123,61,81
Democratic Republic of Congo,0.5492207971314302,0.02277956337706577,0.02121771217712176,0.0,-0.9616328185699897,-0.91750218489027,0.0006080128224488462,76,73,83,90,37,70,229
Denmark,0.02007451469213417,0.36592150880599084,0.0940556809631301,0.0,-0.10606626566034028,-0.8911904867289279,0.7658040129344734,210,200,144,89,179,83,19
Djibouti,0.0,0.05409413785028483,0.11377245508982026,0.0,-0.8547107702418191,-0.22887558216899573,0.02602981250193325,231,104,152,59,97,168,210
Dominica,0.2737398257889476,0.7316862970410802,0.8999999999999999,0.0,-0.11796720356691703,0.0,0.37078091226514437,116,229,228,57,178,186,133
Dominican Republic,0.13775358636514978,0.13425540388862744,0.039050914483440335,0.0,-0.720182456455551,-0.8965215065169869,0.5097790575872256,147,153,102,2,130,78,105
Ecuador,0.12556110415841415,0.034624281770017085,0.014895305536902548,0.0,-0.9367009164637021,-0.9256876225009277,0.624089287884478,154,95,70,56,62,66,70
Egypt,1.6123611785382304,0.17750325097529251,0.18135133575673645,0.0,-0.6174990426547811,-0.6828844997342677,0.14647643444345698,27,172,177,27,146,131,179
El Salvador,0.185079890684533,0.14811016981638359,0.16759431045145323,0.0,-0.6294681631330226,-0.6724629602811805,0.6210680371251055,136,159,173,26,145,133,73
Equatorial Guinea,0.17957467116055725,0.09949846303187182,0.19047619047619047,0.0,-0.6792587724989692,0.02380952380952306,0.13638128659326804,139,135,179,25,136,219,181
Eritrea,0.0,0.09461469800654565,0.4285714285714286,0.0,-0.9364420349269006,-0.8163265306122449,0.0,237,129,213,24,63,105,232
Estonia,0.10203390731515571,0.42447378357449583,0.3264554163596167,-0.9999954349968392,-0.8485220541824956,-0.8889178449534142,0.5944575411186941,164,210,203,229,99,84,79
Eswatini,0.23917940237226287,0.01593937810295265,0.022950819672131084,0.0,-0.9813058402948451,-0.9898161947342276,0.22242399790509643,122,64,87,23,29,16,165
Ethiopia,0.6963594122197898,0.07481615626283733,0.21013973486205662,0.0,-0.8870700899866965,-0.5710204775586678,0.01223988117841506,59,117,185,22,90,147,223
Europe,0.10771594535448736,0.24854512161751807,0.15624351190471342,-0.9999971226499517,-0.6358843261955331,-0.7692266633918301,0.5796661568786772,160,185,172,230,143,115,87
